Source: CPS Annual Social and Economic (March) Supplement 202003
Weight used: FSUP_WGT
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming"
"","main reason for moving (NXTRES)","","","","","","","","","","","","","","","","","","","","",""
" -> Total -> Total Rhode Island","1048901","964884","0","8072","8752","2562","13113","568","3072","3704","0","17449","5936","2473","1869","0","4889","0","0","7600","0","3958"
"Not Elsewhere Classified","971581","964884","0","0","0","0","2100","0","0","3704","0","0","0","0","893","0","0","0","0","0","0","0"
"Different County, Same State","8532","0","0","0","509","0","1602","0","0","0","0","3891","1638","0","0","0","0","0","0","0","0","892"
"Different State","9449","0","0","0","1685","0","7764","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Same County","59339","0","0","8072","6558","2562","1647","568","3072","0","0","13558","4298","2473","976","0","4889","0","0","7600","0","3066"
" -> Total -> Total South Carolina","5058370","4645389","56592","25429","33642","30299","118664","0","50507","0","0","15804","11640","0","15433","0","29567","9519","4249","0","0","11636"
"Not Elsewhere Classified","4673076","4645389","0","0","5918","0","18309","0","0","0","0","0","0","0","0","0","0","3460","0","0","0","0"
"Different County, Same State","73040","0","14767","3770","4640","0","13492","0","9717","0","0","5634","0","0","0","0","16628","0","0","0","0","4392"
"Different State","193580","0","24656","5613","15348","17206","75233","0","33085","0","0","0","4895","0","6051","0","0","0","4249","0","0","7244"
"Same County","118674","0","17169","16046","7736","13093","11630","0","7705","0","0","10170","6745","0","9382","0","12939","6059","0","0","0","0"
" -> Total -> Total South Dakota","860428","791510","9602","7469","3802","1109","12661","1529","533","0","0","12231","6287","3013","4671","3296","0","1344","0","1371","0","0"
"Not Elsewhere Classified","792128","791510","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","618","0","0","0","0"
"Different County, Same State","14150","0","557","1453","2641","0","4120","1224","0","0","0","0","0","1587","2568","0","0","0","0","0","0","0"
"Different State","10741","0","0","0","624","591","5944","305","0","0","0","0","1180","0","0","0","0","726","0","1371","0","0"
"Same County","43409","0","9045","6016","537","518","2597","0","533","0","0","12231","5107","1426","2103","3296","0","0","0","0","0","0"
" -> Total -> Total Tennessee","6536990","5952837","32114","64077","73121","27783","77388","5592","27496","8557","0","29329","57191","68321","48705","0","7368","9900","0","11251","0","35960"
"Not Elsewhere Classified","5958524","5952837","0","0","0","0","5687","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Different County, Same State","59525","0","1968","0","10993","0","11753","0","6524","0","0","0","0","2922","2990","0","0","0","0","11251","0","11124"
"Different State","109576","0","3613","0","23151","7275","36669","0","8745","0","0","0","6455","7895","5873","0","0","9900","0","0","0","0"
"Same County","409365","0","26533","64077","38977","20508","23279","5592","12227","8557","0","29329","50736","57504","39842","0","7368","0","0","0","0","24836"
" -> Total -> Total Texas","27394084","24570711","174810","345341","260361","133683","321288","60905","106408","23567","4786","118959","376639","173491","142729","9961","225352","66058","6168","135260","8198","129409"
"Not Elsewhere Classified","24714489","24570711","0","11342","43119","2726","33047","11573","0","0","0","0","2620","0","0","0","0","17065","0","0","0","22286"
"Different County, Same State","783802","0","80193","76304","99895","48910","101950","14658","19406","8863","0","34305","85000","19565","37749","0","47548","16831","0","58654","0","33971"
"Different State","268064","0","5411","0","12162","7119","107054","0","10934","11102","0","12055","0","0","16341","0","13114","21192","6168","42409","0","3003"
"Same County","1627729","0","89206","257695","105185","74928","79237","34674","76068","3602","4786","72599","289019","153926","88639","9961","164690","10970","0","34197","8198","70149"
" -> Total -> Total Utah","3201022","2931680","65815","2195","29364","6776","52237","0","0","854","0","52058","40183","7148","4422","0","3106","3895","0","1289","0","0"
"Not Elsewhere Classified","2936541","2931680","0","0","0","0","1881","0","0","0","0","0","995","0","0","0","0","1985","0","0","0","0"
"Different County, Same State","73854","0","28478","0","4986","3605","26772","0","0","0","0","0","6810","0","1914","0","0","0","0","1289","0","0"
"Different State","40588","0","8549","0","6841","0","14740","0","0","854","0","2343","0","5351","0","0","0","1910","0","0","0","0"
"Same County","150039","0","28788","2195","17537","3171","8844","0","0","0","0","49715","32378","1797","2508","0","3106","0","0","0","0","0"
" -> Total -> Total Vermont","601325","560774","7262","2381","4514","556","5254","0","4623","1220","0","1172","4786","4770","1642","0","2105","0","0","0","0","266"
"Not Elsewhere Classified","561040","560774","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","266"
"Different County, Same State","8821","0","965","0","340","0","0","0","1869","0","0","848","2454","2000","0","0","345","0","0","0","0","0"
"Different State","5905","0","0","0","883","0","3085","0","0","654","0","0","0","1283","0","0","0","0","0","0","0","0"
"Same County","25559","0","6297","2381","3291","556","2169","0","2754","566","0","324","2332","1487","1642","0","1760","0","0","0","0","0"
" -> Total -> Total Virginia","8252839","7255442","35817","38843","54514","35366","131945","11556","74566","85925","8674","78591","141461","31222","116000","9142","39335","14201","0","27300","6529","56410"
"Not Elsewhere Classified","7341789","7255442","0","7369","28294","3605","14555","0","0","1923","0","0","0","0","5134","0","0","2664","0","15676","0","7127"
"Different County, Same State","330779","0","18784","7698","7938","7179","35738","0","19750","19810","0","7805","65662","15002","79782","0","17679","4067","0","4196","0","19689"
"Different State","184396","0","0","0","14025","2182","77502","1922","20244","23719","8674","0","6050","10938","8127","0","0","7470","0","0","0","3543"
"Same County","395875","0","17033","23776","4257","22400","4150","9634","34572","40473","0","70786","69749","5282","22957","9142","21656","0","0","7428","6529","26051"
" -> Total -> Total Washington","7435750","6681916","59271","39501","73581","27717","69746","12671","49784","0","0","99217","89764","69866","39088","6806","53956","32674","0","10778","0","19414"
"Not Elsewhere Classified","6709894","6681916","4195","0","10642","0","6871","0","0","0","0","0","0","0","0","0","0","6270","0","0","0","0"
"Different County, Same State","110596","0","0","0","15849","5029","2967","0","28242","0","0","20053","0","3538","2927","0","15673","7232","0","7634","0","1452"
"Different State","102756","0","0","3510","12031","0","55951","9515","0","0","0","0","0","0","0","0","0","11137","0","3144","0","7468"
"Same County","512504","0","55076","35991","35059","22688","3957","3156","21542","0","0","79164","89764","66328","36161","6806","38283","8035","0","0","0","10494"
" -> Total -> Total West Virginia","1703859","1609278","1416","16094","16786","5079","11108","0","2923","0","0","10110","9326","5061","4492","1561","1667","2096","1219","583","374","4686"
"Not Elsewhere Classified","1611530","1609278","0","0","0","0","2252","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Different County, Same State","9491","0","1416","1204","2571","0","0","0","0","0","0","920","3380","0","0","0","0","0","0","0","0","0"
"Different State","36767","0","0","1635","6813","1122","8856","0","0","0","0","4549","847","5061","3039","848","0","0","1219","583","0","2195"
"Same County","46071","0","0","13255","7402","3957","0","0","2923","0","0","4641","5099","0","1453","713","1667","2096","0","0","374","2491"
" -> Total -> Total Wisconsin","5758560","5249846","8915","64165","56221","13807","71401","18607","6524","3504","0","79985","76617","34080","14003","0","11134","27219","0","14513","0","8019"
"Not Elsewhere Classified","5258271","5249846","0","0","4175","0","1769","2481","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Different County, Same State","110965","0","6133","6655","0","0","20666","6421","0","0","0","30561","10051","8915","4398","0","0","7210","0","9955","0","0"
"Different State","62636","0","0","2543","11586","0","37728","0","0","3504","0","5519","0","0","0","0","0","0","0","1756","0","0"
"Same County","326688","0","2782","54967","40460","13807","11238","9705","6524","0","0","43905","66566","25165","9605","0","11134","20009","0","2802","0","8019"
" -> Total -> Total Wyoming","573056","505268","2563","3023","4556","1731","12490","0","2869","5062","0","5519","7886","0","5372","307","3827","4237","0","339","0","8007"
"Not Elsewhere Classified","505871","505268","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","603"
"Different County, Same State","10736","0","0","0","1309","0","2055","0","1684","698","0","0","937","0","0","0","0","1044","0","0","0","3009"
"Different State","24362","0","0","0","1513","0","10435","0","930","3138","0","2165","2056","0","592","0","0","240","0","0","0","3293"
"Same County","32087","0","2563","3023","1734","1731","0","0","255","1226","0","3354","4893","0","4780","307","3827","2953","0","339","0","1102"
