Source: CPS Annual Social and Economic (March) Supplement 202103
Weight used: FSUP_WGT
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming"
"","main reason for moving (NXTRES)","","","","","","","","","","","","","","","","","","","","",""
"Not Elsewhere Classified","974134","968246","0","0","0","0","5888","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Different County, Same State","13925","0","0","0","0","5621","0","0","0","0","0","0","6127","2177","0","0","0","0","0","0","0","0"
"Different State","17952","0","0","2646","0","1655","5432","3063","0","0","0","0","3276","0","0","0","0","0","0","0","0","1880"
"Same County","58064","0","3375","6600","7070","1655","1593","0","4338","0","1002","14493","13358","0","1300","0","3280","0","0","0","0","0"
" -> Total -> Total South Carolina","5094228","4677585","7517","20786","22454","20561","50666","36706","30022","14843","0","27507","43627","13044","44203","0","17818","1720","29000","3762","0","32407"
"Not Elsewhere Classified","4679584","4677585","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1999"
"Different County, Same State","137405","0","5361","0","11017","11541","5052","20694","12121","0","0","4699","20198","1705","7036","0","3356","1720","13205","2684","0","17016"
"Different State","70050","0","0","0","2300","0","37532","0","0","9956","0","6942","0","0","5368","0","0","0","7952","0","0","0"
"Same County","207189","0","2156","20786","9137","9020","8082","16012","17901","4887","0","15866","23429","11339","31799","0","14462","0","7843","1078","0","13392"
" -> Total -> Total South Dakota","891472","800800","7338","12390","15074","1146","12105","777","2623","2942","0","4093","15385","598","4426","0","8255","799","0","0","0","2721"
"Not Elsewhere Classified","801310","800800","0","0","0","0","510","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Different County, Same State","26103","0","598","2517","6521","321","7821","777","0","0","0","2352","1437","598","3161","0","0","0","0","0","0","0"
"Different State","9986","0","600","275","3861","825","269","0","0","1989","0","0","0","0","0","0","1368","799","0","0","0","0"
"Same County","54073","0","6140","9598","4692","0","3505","0","2623","953","0","1741","13948","0","1265","0","6887","0","0","0","0","2721"
" -> Total -> Total Tennessee","6862319","6183583","43651","85852","60968","44446","44764","7552","8723","22952","0","13083","66403","83762","78040","0","35560","11011","23091","4364","7117","37397"
"Not Elsewhere Classified","6198718","6183583","0","0","0","0","0","0","0","0","0","0","0","0","15135","0","0","0","0","0","0","0"
"Different County, Same State","153531","0","0","24990","14516","0","5897","7552","5592","0","0","9468","16158","47353","1155","0","6885","0","0","0","0","13965"
"Different State","167045","0","22015","6941","25624","9746","38867","0","0","14151","0","0","5730","5674","2734","0","11053","0","13652","0","7117","3741"
"Same County","343025","0","21636","53921","20828","34700","0","0","3131","8801","0","3615","44515","30735","59016","0","17622","11011","9439","4364","0","19691"
" -> Total -> Total Texas","27824461","25291918","106256","265827","232522","102776","276492","58789","149693","8948","4521","189695","403146","173610","245619","4308","114071","92915","0","30600","0","72755"
"Not Elsewhere Classified","25340505","25291918","9636","0","10748","0","17136","11067","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Different County, Same State","552461","0","6292","33678","36504","17312","151909","22709","9925","8948","4521","41328","74950","14253","65382","0","8972","37028","0","10318","0","8432"
"Different State","418057","0","8066","20880","149259","19635","89198","10624","0","0","0","35412","5325","29209","12506","0","0","28086","0","0","0","9857"
"Same County","1513438","0","82262","211269","36011","65829","18249","14389","139768","0","0","112955","322871","130148","167731","4308","105099","27801","0","20282","0","54466"
" -> Total -> Total Utah","3254338","2955825","5984","17281","23879","31119","43869","9273","6962","0","0","24709","33787","16527","22707","6020","22011","25695","0","8690","0","0"
"Not Elsewhere Classified","2978350","2955825","687","2785","857","0","15557","0","0","0","0","1252","0","0","0","0","0","0","0","1387","0","0"
"Different County, Same State","90826","0","0","0","2383","14998","23903","4873","0","0","0","1505","11082","6484","0","0","10850","14748","0","0","0","0"
"Different State","46179","0","0","0","17902","5180","2089","1310","0","0","0","990","4472","0","7270","0","0","4831","0","2135","0","0"
"Same County","138983","0","5297","14496","2737","10941","2320","3090","6962","0","0","20962","18233","10043","15437","6020","11161","6116","0","5168","0","0"
" -> Total -> Total Vermont","613835","577960","3576","4435","1150","594","5963","863","2055","0","6164","1871","3213","483","1518","0","762","564","487","358","0","1819"
"Not Elsewhere Classified","577960","577960","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Different County, Same State","6286","0","1285","0","964","0","0","477","2055","0","0","0","996","0","509","0","0","0","0","0","0","0"
"Different State","11326","0","2058","1507","186","0","3275","386","0","0","3914","0","0","0","0","0","0","0","0","0","0","0"
"Same County","18263","0","233","2928","0","594","2688","0","0","0","2250","1871","2217","483","1009","0","762","564","487","358","0","1819"
" -> Total -> Total Virginia","8333430","7597807","47779","83380","61209","33486","174669","8897","32357","0","4666","60127","73764","15738","34524","0","54730","21641","0","10235","0","18421"
"Not Elsewhere Classified","7674607","7597807","0","0","9713","0","64871","0","0","0","0","0","0","0","0","0","0","2216","0","0","0","0"
"Different County, Same State","281155","0","26474","38666","16691","17441","28759","0","15881","0","0","36440","35230","7716","9261","0","33707","9806","0","0","0","5083"
"Different State","151554","0","1832","21456","11855","8290","72713","4190","16476","0","0","0","0","0","0","0","0","0","0","8440","0","6302"
"Same County","226114","0","19473","23258","22950","7755","8326","4707","0","0","4666","23687","38534","8022","25263","0","21023","9619","0","1795","0","7036"
" -> Total -> Total Washington","7428331","6672387","39589","33386","50125","16758","24659","17620","99305","0","0","75474","180734","51065","48969","0","20693","37342","0","9626","9837","40762"
"Not Elsewhere Classified","6672387","6672387","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Different County, Same State","164565","0","1974","0","2276","3754","7344","9269","9896","0","0","16187","52972","10647","10050","0","10015","7923","0","5947","0","16311"
"Different State","129874","0","0","6777","27597","0","17315","5561","3647","0","0","7415","13773","17677","12493","0","0","7844","0","3679","0","6096"
"Same County","461505","0","37615","26609","20252","13004","0","2790","85762","0","0","51872","113989","22741","26426","0","10678","21575","0","0","9837","18355"
" -> Total -> Total West Virginia","1750243","1648673","4399","11484","9396","6409","5178","3362","4562","755","0","983","8405","10509","5952","5355","3947","0","0","16102","1134","3638"
"Not Elsewhere Classified","1650412","1648673","1077","0","0","0","662","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Different County, Same State","25012","0","858","577","3565","2879","2150","2531","0","755","0","0","0","4946","831","3262","0","0","0","0","0","2658"
"Different State","10693","0","0","841","0","0","2366","831","4562","0","0","0","0","0","0","2093","0","0","0","0","0","0"
"Same County","64126","0","2464","10066","5831","3530","0","0","0","0","0","983","8405","5563","5121","0","3947","0","0","16102","1134","980"
" -> Total -> Total Wisconsin","5852076","5466999","13971","40243","13270","29903","31545","0","32079","0","3271","20425","37185","19152","59309","0","39439","9348","0","8478","0","27459"
"Not Elsewhere Classified","5470690","5466999","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3691"
"Different County, Same State","54951","0","0","5674","8523","5848","3821","0","6612","0","0","10219","0","6395","5443","0","0","0","0","0","0","2416"
"Different State","60466","0","6730","3413","4747","5644","0","0","7719","0","3271","0","0","3521","8732","0","7341","9348","0","0","0","0"
"Same County","265969","0","7241","31156","0","18411","27724","0","17748","0","0","10206","37185","9236","45134","0","32098","0","0","8478","0","21352"
" -> Total -> Total Wyoming","563581","511538","1699","5557","3082","3245","1520","2289","0","667","0","5941","12087","3223","5975","0","3113","2454","0","0","0","1191"
"Not Elsewhere Classified","512798","511538","494","0","0","616","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","150"
"Different County, Same State","5519","0","0","0","163","417","566","1226","0","0","0","452","623","851","0","0","181","1040","0","0","0","0"
"Different State","10856","0","0","487","1296","0","0","326","0","667","0","452","3239","2108","0","0","0","1240","0","0","0","1041"
"Same County","34408","0","1205","5070","1623","2212","954","737","0","0","0","5037","8225","264","5975","0","2932","174","0","0","0","0"
